condition,p_semantic,p_social,rep,period,repertoire_size,max_level,mean_score
random,0.0,0.0,4,1,4,1,24.0
random,0.0,0.0,4,2,4,1,35.1
random,0.0,0.0,4,3,5,2,41.4
random,0.0,0.0,4,4,7,3,47.4
random,0.0,0.0,4,5,7,3,52.8
random,0.0,0.0,4,6,7,3,59.4
random,0.0,0.0,4,7,8,3,63.0
random,0.0,0.0,4,8,9,4,66.3
random,0.0,0.0,4,9,10,5,70.3
random,0.0,0.0,4,10,10,5,73.0
random,0.0,0.0,4,11,10,5,75.4
random,0.0,0.0,4,12,11,6,79.2
random,0.0,0.0,4,13,11,6,81.0
random,0.0,0.0,4,14,11,6,81.6
random,0.0,0.0,4,15,12,6,84.6
random,0.0,0.0,4,16,12,6,86.1
random,0.0,0.0,4,17,13,6,87.3
random,0.0,0.0,4,18,13,6,88.9
random,0.0,0.0,4,19,13,6,91.6
random,0.0,0.0,4,20,13,6,93.1
